City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
186,Kurilsk,RU,2022-12-18 20:41:14,45.2333,147.8833,25.88,61,100,38.88
187,Hobyo,SO,2022-12-18 20:41:14,5.3505,48.5268,78.08,73,48,17.13
188,Lorengau,PG,2022-12-18 20:41:15,-2.0226,147.2712,80.42,80,100,1.01
189,Touros,BR,2022-12-18 20:41:15,-5.1989,-35.4608,78.75,75,69,12.68
190,Gladstone,AU,2022-12-18 20:41:16,-23.85,151.25,69.73,68,93,6.91
191,Ketchikan,US,2022-12-18 20:41:16,55.3422,-131.6461,21.18,35,0,6.91
192,Torbay,CA,2022-12-18 20:41:16,47.6666,-52.7314,39.27,96,100,25.32
193,Kudahuvadhoo,MV,2022-12-18 20:41:17,2.6708,72.8944,81.01,70,28,4.38
194,Nanortalik,GL,2022-12-18 20:41:17,60.1432,-45.2371,20.14,75,75,6.24
195,Wanxian,CN,2022-12-18 20:41:18,30.8039,108.3897,40.62,70,0,2.1
196,Bhilai,IN,2022-12-18 20:41:18,21.2167,81.4333,58.62,32,76,2.42
197,Victoria,HK,2022-12-18 20:41:18,22.2855,114.1577,55.26,48,32,5.99
198,Atbasar,KZ,2022-12-18 20:41:19,51.8,68.3333,12.34,90,91,8.7
199,Byron Bay,AU,2022-12-18 20:37:28,-28.65,153.6167,63.72,73,100,13.6
200,Rawson,AR,2022-12-18 20:41:19,-43.3002,-65.1023,65.62,46,26,18.43
201,Belaya Gora,RU,2022-12-18 20:41:20,68.5333,146.4167,-10.32,97,100,1.83
202,Conroe,US,2022-12-18 20:41:20,30.3119,-95.456,58.86,37,0,8.05
203,East London,ZA,2022-12-18 20:41:21,-33.0153,27.9116,68.14,72,87,3.83
204,Otane,NZ,2022-12-18 20:41:21,-39.8833,176.6333,63.01,91,100,2.39
205,Waingapu,ID,2022-12-18 20:41:21,-9.6567,120.2641,77.67,80,99,5.06
206,Souillac,MU,2022-12-18 20:41:22,-20.5167,57.5167,77.38,73,40,9.22
207,Eydhafushi,MV,2022-12-18 20:41:22,5.1033,73.0708,80.98,72,41,6.58
208,Dunedin,NZ,2022-12-18 20:41:23,-45.8742,170.5036,55.8,75,100,5.99
209,Acari,PE,2022-12-18 20:41:23,-15.4311,-74.6158,77.34,64,100,9.06
210,Conceicao Do Araguaia,BR,2022-12-18 20:41:24,-8.2578,-49.2647,82.2,74,73,2.8
211,Cabedelo,BR,2022-12-18 20:41:24,-6.9811,-34.8339,83.07,64,59,10.67
212,Lahij,YE,2022-12-18 20:41:24,13.1667,44.5833,68.74,66,1,3.4
213,Alta Floresta,BR,2022-12-18 20:41:25,-9.8756,-56.0861,80.35,79,87,0.76
214,Tiksi,RU,2022-12-18 20:41:25,71.6872,128.8694,-21.3,98,100,6.76
215,Bogorodskoye,RU,2022-12-18 20:41:26,56.55,37.8833,1.81,98,77,5.91
216,Cavalcante,BR,2022-12-18 20:41:26,-13.7975,-47.4583,68.54,94,100,2.48
217,Tautira,PF,2022-12-18 20:41:27,-17.7333,-149.15,78.4,76,100,6.2
218,Madras,IN,2022-12-18 20:41:27,13.0878,80.2785,76.98,78,20,3.44
219,Viedma,AR,2022-12-18 20:41:28,-40.8135,-62.9967,80.38,38,86,11.25
220,Rio Grande,BR,2022-12-18 20:41:28,-32.035,-52.0986,73.51,66,100,20.38
221,Inta,RU,2022-12-18 20:41:28,66.0317,60.1659,-9.92,99,68,3.76
222,Winneba,GH,2022-12-18 20:41:29,5.3511,-0.6231,79.65,85,14,6.58
223,Imeni Poliny Osipenko,RU,2022-12-18 20:41:30,52.4201,136.4853,-8.91,96,100,8.61
224,Luanda,AO,2022-12-18 20:41:30,-8.8368,13.2343,78.8,73,0,6.91
225,Seymchan,RU,2022-12-18 20:42:30,62.8833,152.4333,-10.46,99,100,4.74
226,Ambon,ID,2022-12-18 20:42:31,-3.6954,128.1814,79.16,80,100,4.68
227,Praia Da Vitoria,PT,2022-12-18 20:42:31,38.7333,-27.0667,62.85,77,40,26.24
228,Denpasar,ID,2022-12-18 20:42:32,-8.65,115.2167,76.71,94,20,1.14
229,Kuala Perlis,MY,2022-12-18 20:42:32,6.4,100.1333,76.98,98,100,18.28
230,Sovetskiy,RU,2022-12-18 20:42:33,61.3614,63.5842,12.63,95,100,8.05
231,Cherskiy,RU,2022-12-18 20:42:33,68.75,161.3,16.38,80,100,4.29
