City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
151,Key West,US,24.5557,-81.7826,80.6,80,0,13.8,clear sky
152,Gat,IL,31.61,34.7642,58.41,60,5,6.96,clear sky
153,Tingo Maria,PE,-9.2895,-76.0088,69.49,90,95,2.26,overcast clouds
154,Sobolevo,RU,54.4299,31.8996,14.54,79,100,13.62,overcast clouds
155,Codrington,AU,-38.2667,141.9667,76.51,38,79,9.64,broken clouds
156,Wadi Maliz,TN,36.4681,8.5495,40.66,77,79,2.3,broken clouds
157,Ixtapa,MX,20.7,-105.2,74.43,78,0,5.75,clear sky
158,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.81,96,100,6.22,overcast clouds
159,Inuvik,CA,68.3499,-133.7218,-15.59,76,20,2.3,few clouds
160,Sabang,ID,5.8933,95.3214,80.6,80,93,14.74,moderate rain
161,Flinders,AU,-34.5833,150.8552,66.25,58,55,11.16,broken clouds
162,Padang,ID,-0.9492,100.3543,86.05,64,94,4.5,overcast clouds
163,Guerrero Negro,MX,27.9769,-114.0611,59.43,68,34,4.59,scattered clouds
164,Bonthe,SL,7.5264,-12.505,78.57,81,94,3.09,overcast clouds
165,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,76,75,6.91,broken clouds
166,Kavieng,PG,-2.5744,150.7967,82.8,73,100,4.47,light rain
167,Kilis,TR,36.7161,37.115,37.63,63,72,2.68,broken clouds
168,Broome,US,42.2506,-75.833,29.17,82,100,9.22,light snow
169,Tawang,IN,27.5833,91.8667,40.78,67,54,2.53,broken clouds
170,Ilulissat,GL,69.2167,-51.1,23.02,39,16,14.97,few clouds
171,Baruun-Urt,MN,46.6806,113.2792,5.32,88,100,15.41,light snow
172,Vilyuysk,RU,63.7553,121.6247,-31.47,99,87,3.47,overcast clouds
173,Senno,RU,59.5336,33.9167,28.26,90,100,6.6,overcast clouds
174,Sfantu Gheorghe,RO,45.8667,25.7833,31.26,55,0,2.71,clear sky
175,Quelimane,MZ,-17.8786,36.8883,75.15,94,75,4.61,broken clouds
176,Taoudenni,ML,22.6783,-3.9836,62.78,41,0,13.62,clear sky
177,Bambous Virieux,MU,-20.3428,57.7575,78.22,73,40,9.22,light rain
178,Dikson,RU,73.5069,80.5464,-21.01,99,35,5.26,scattered clouds
179,Vanavara,RU,60.34,102.2797,-37.37,100,49,2.42,scattered clouds
180,Namatanai,PG,-3.6667,152.4333,84.4,71,73,4.65,light rain
181,San Joaquin,US,37.9333,-121.3011,41.49,83,100,0.0,haze
182,Sur,OM,22.5667,59.5289,73.04,60,4,6.62,clear sky
183,Rio Grande,BR,-32.035,-52.0986,67.71,88,91,21.25,overcast clouds
184,Miri,MY,4.4148,114.0089,87.17,74,40,2.3,scattered clouds
185,Bathsheba,BB,13.2167,-59.5167,80.06,89,40,16.11,light rain
186,Saldanha,ZA,-33.0117,17.9442,59.05,83,0,16.35,clear sky
187,Nyurba,RU,63.2842,118.3319,-24.95,98,100,4.23,overcast clouds
188,Itaituba,BR,-4.2761,-55.9836,73.24,98,100,0.85,overcast clouds
189,Sabha,LY,27.0377,14.4283,53.55,88,5,13.18,clear sky
190,Barrow,US,71.2906,-156.7887,5.02,85,100,14.97,overcast clouds
191,Ostersund,SE,63.1792,14.6357,23.45,93,100,13.8,overcast clouds
192,Chatra,IN,24.2167,84.8667,60.73,34,23,4.88,few clouds
193,Bowling Green,US,36.9903,-86.4436,37.33,61,100,4.61,overcast clouds
194,Qaanaaq,GL,77.484,-69.3632,-12.1,76,0,3.09,clear sky
195,Sikasso,ML,10.9167,-7.0,69.48,21,73,5.57,broken clouds
196,La Crosse,US,43.8014,-91.2396,21.36,91,100,6.91,mist
197,Toppenish,US,46.3774,-120.3087,20.5,91,98,2.98,overcast clouds
198,Ngunguru,NZ,-35.6167,174.5,69.62,64,25,12.57,scattered clouds
199,Souillac,MU,-20.5167,57.5167,75.58,73,40,9.22,scattered clouds
